time,angle_deg,bead_y,bead_z,dist_top,dist_bot,force_mag,force_constant
0.0009,0.01,-0.000003,0.000000,0.074600,0.074600,1.796894e-08,1.00e-10
0.0017,0.01,-0.000012,0.000000,0.074600,0.074600,1.796894e-08,1.00e-10
0.0026,0.02,-0.000027,0.000000,0.074600,0.074600,1.796894e-08,1.00e-10
0.0035,0.02,-0.000048,0.000000,0.074600,0.074600,1.796894e-08,1.00e-10
0.0044,0.03,-0.000075,0.000000,0.074600,0.074600,1.796895e-08,1.00e-10
0.0052,0.03,-0.000108,0.000000,0.074600,0.074600,1.796896e-08,1.00e-10
0.0061,0.04,-0.000147,0.000000,0.074600,0.074600,1.796898e-08,1.00e-10
0.0070,0.04,-0.000192,0.000000,0.074600,0.074600,1.796900e-08,1.00e-10
0.0079,0.05,-0.000243,0.000000,0.074600,0.074600,1.796903e-08,1.00e-10
0.0087,0.05,-0.000300,0.000000,0.074600,0.074600,1.796907e-08,1.00e-10
0.0096,0.06,-0.000363,0.000000,0.074600,0.074600,1.796911e-08,1.00e-10
0.0105,0.06,-0.000431,0.000000,0.074600,0.074600,1.796916e-08,1.00e-10
0.0113,0.07,-0.000506,0.000000,0.074599,0.074601,1.796923e-08,1.00e-10
0.0122,0.07,-0.000587,0.000000,0.074599,0.074601,1.796930e-08,1.00e-10
0.0131,0.08,-0.000674,0.000000,0.074599,0.074601,1.796938e-08,1.00e-10
0.0140,0.08,-0.000766,0.000000,0.074599,0.074601,1.796948e-08,1.00e-10
0.0148,0.09,-0.000865,0.000000,0.074599,0.074601,1.796958e-08,1.00e-10
0.0157,0.09,-0.000970,0.000000,0.074598,0.074602,1.796970e-08,1.00e-10
0.0166,0.10,-0.001081,0.000000,0.074598,0.074602,1.796984e-08,1.00e-10
0.0175,0.10,-0.001197,0.000000,0.074598,0.074602,1.796999e-08,1.00e-10
0.0183,0.11,-0.001320,0.000000,0.074597,0.074603,1.797016e-08,1.00e-10
0.0192,0.12,-0.001448,0.000000,0.074597,0.074603,1.797034e-08,1.00e-10
0.0201,0.12,-0.001573,0.000000,0.074597,0.074603,1.797053e-08,1.00e-10
0.0209,0.13,-0.001463,0.000000,0.074597,0.074603,1.797054e-08,1.00e-10
0.0218,0.13,-0.001363,0.000000,0.074597,0.074603,1.797054e-08,1.00e-10
0.0227,0.14,-0.001271,0.000000,0.074597,0.074603,1.797055e-08,1.00e-10
0.0236,0.14,-0.001189,0.000000,0.074597,0.074603,1.797056e-08,1.00e-10
0.0244,0.15,-0.001115,0.000001,0.074597,0.074603,1.797058e-08,1.00e-10
0.0253,0.15,-0.001051,0.000001,0.074597,0.074603,1.797060e-08,1.00e-10
0.0262,0.16,-0.000995,0.000001,0.074596,0.074604,1.797063e-08,1.00e-10
0.0271,0.16,-0.000949,0.000001,0.074596,0.074604,1.797066e-08,1.00e-10
0.0279,0.17,-0.000911,0.000001,0.074596,0.074604,1.797070e-08,1.00e-10
0.0288,0.17,-0.000882,0.000001,0.074596,0.074604,1.797075e-08,1.00e-10
0.0297,0.18,-0.000863,0.000001,0.074596,0.074604,1.797082e-08,1.00e-10
0.0305,0.18,-0.000852,0.000001,0.074596,0.074604,1.797089e-08,1.00e-10
0.0314,0.19,-0.000850,0.000001,0.074596,0.074604,1.797098e-08,1.00e-10
0.0323,0.19,-0.000855,0.000002,0.074596,0.074604,1.797108e-08,1.00e-10
0.0332,0.20,-0.000865,0.000002,0.074595,0.074605,1.797119e-08,1.00e-10
0.0340,0.20,-0.000882,0.000002,0.074595,0.074605,1.797131e-08,1.00e-10
0.0349,0.21,-0.000905,0.000002,0.074595,0.074605,1.797144e-08,1.00e-10
0.0358,0.21,-0.000934,0.000002,0.074594,0.074606,1.797159e-08,1.00e-10
0.0367,0.22,-0.000968,0.000002,0.074594,0.074606,1.797174e-08,1.00e-10
0.0375,0.23,-0.001009,0.000002,0.074594,0.074606,1.797192e-08,1.00e-10
0.0384,0.23,-0.001056,0.000002,0.074593,0.074607,1.797211e-08,1.00e-10
0.0393,0.24,-0.001108,0.000002,0.074593,0.074607,1.797231e-08,1.00e-10
0.0401,0.24,-0.001167,0.000003,0.074593,0.074607,1.797253e-08,1.00e-10
0.0410,0.25,-0.001231,0.000003,0.074592,0.074608,1.797277e-08,1.00e-10
0.0419,0.25,-0.001302,0.000003,0.074592,0.074608,1.797303e-08,1.00e-10
0.0428,0.26,-0.001379,0.000003,0.074591,0.074609,1.797330e-08,1.00e-10
0.0436,0.26,-0.001461,0.000003,0.074590,0.074610,1.797360e-08,1.00e-10
0.0445,0.27,-0.001550,0.000003,0.074590,0.074610,1.797391e-08,1.00e-10
0.0454,0.27,-0.001524,0.000004,0.074589,0.074611,1.797419e-08,1.00e-10
0.0463,0.28,-0.001459,0.000004,0.074589,0.074611,1.797446e-08,1.00e-10
0.0471,0.28,-0.001403,0.000005,0.074588,0.074612,1.797474e-08,1.00e-10
0.0480,0.29,-0.001355,0.000006,0.074587,0.074613,1.797505e-08,1.00e-10
0.0489,0.29,-0.001317,0.000007,0.074587,0.074613,1.797536e-08,1.00e-10
0.0497,0.30,-0.001288,0.000007,0.074586,0.074614,1.797570e-08,1.00e-10
0.0506,0.30,-0.001267,0.000008,0.074585,0.074615,1.797606e-08,1.00e-10
0.0515,0.31,-0.001256,0.000009,0.074584,0.074616,1.797644e-08,1.00e-10
0.0524,0.31,-0.001253,0.000010,0.074584,0.074616,1.797684e-08,1.00e-10
